name,description_text,image_url,size,type,habitat,challenge_rating,armor_class,hit_points,speed,abilities,skills,senses,special_abilities,actions,behavior,diet,domesticable,rideable,exp_value,id,created_date,updated_date,created_by_id,created_by,is_sample,world_id,token_url
Poulpe géant,Créature marine intelligente avec huit tentacules puissants. Capable de changer de couleur pour se camoufler et peut projeter un nuage d'encre.,,Grand,Créature aquatique,Océans profonds,1,11,52,"3 m, nage 18 m",,,"Vision dans le noir 18 m, Perception passive 14",,,Créature intelligente et curieuse. Utilise son camouflage pour chasser en embuscade et son encre pour s'échapper.,Carnivore,FALSE,FALSE,200,68e1561a60e37f9dc0859c70,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Panthère,"Félin agile et silencieux, chasseur nocturne redoutable qui traque ses proies depuis les arbres.",,Moyen,Mammifère,"Jungles, forêts tropicales",0.25,12,13,"15 m, escalade 12 m",,,Perception passive 14,,,Chasseur solitaire et furtif. Préfère attaquer depuis les hauteurs et évite les confrontations directes avec des proies dangereuses.,Carnivore,FALSE,FALSE,50,68e1561a60e37f9dc0859c73,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Salamandre de feu,Amphibien magique qui prospère dans les environnements volcaniques. Sa peau sécrète un liquide toxique et peut résister à des chaleurs extrêmes.,,Petit,Amphibien,"Volcans, sources chaudes, plans élémentaires",0.5,12,14,"9 m, escalade 9 m",,,"Vision dans le noir 18 m, Perception passive 10",,,Créature timide qui évite les confrontations. Sa toxicité naturelle la protège des prédateurs.,Insectivore,FALSE,FALSE,100,68e1561a60e37f9dc0859c69,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Essaim d'abeilles,Nuage dense d'abeilles agressives qui protègent leur ruche avec férocité. Leur piqûre collective peut être mortelle.,,Moyen,Insecte,"Forêts, prairies",0.5,12,22,"1,50 m, vol 18 m",,,"Vision aveugle 3 m, Perception passive 8",,,Extrêmement territorial et agressif pour protéger la ruche. Poursuit les intrus sur de longues distances.,Herbivore,FALSE,FALSE,100,68e1561a60e37f9dc0859c6f,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Cerf,"Herbivore gracieux et vigilant, le cerf possède de magnifiques bois et peut courir à grande vitesse pour échapper aux prédateurs.",,Moyen,Mammifère,"Forêts, prairies",0,13,4,15 m,,,Perception passive 12,,,"Timide et craintif, le cerf fuit au moindre danger. Vit en troupeau pour plus de sécurité.",Herbivore,FALSE,FALSE,10,68e1561a60e37f9dc0859c72,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Loup,"Prédateur social et intelligent, le loup chasse en meute avec une coordination remarquable. Son hurlement peut être entendu à plusieurs kilomètres.",,Moyen,Mammifère,"Forêts, toundras, montagnes",0.25,13,11,12 m,,,"Vision dans le noir 18 m, Perception passive 13",,,Les loups chassent en meute avec une stratégie élaborée. Ils évitent généralement les humains mais peuvent attaquer s'ils sont affamés ou menacés.,Carnivore,FALSE,FALSE,50,68e1561a60e37f9dc0859c61,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Mille-pattes géant,Insecte massif et blindé avec des dizaines de pattes qui lui permettent de se déplacer rapidement. Sa morsure est venimeuse.,,Petit,Insecte,"Cavernes, forêts humides, sous-sols",0.25,13,4,"12 m, escalade 12 m",,,"Vision aveugle 9 m, Perception passive 8",,,Chasseur nocturne agressif. Se déplace rapidement et attaque toute créature qu'il perçoit comme une menace ou une proie.,Carnivore,FALSE,FALSE,50,68e1561a60e37f9dc0859c6e,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Ours brun,"Massif et puissant, l'ours brun est un omnivore territorial qui peut se montrer extrêmement dangereux s'il est provoqué ou si ses petits sont menacés.",,Grand,Mammifère,"Forêts, montagnes",1,11,34,"12 m, escalade 9 m",,,Perception passive 13,,,"Généralement évite les humains mais devient agressif si provoqué, affamé ou pour protéger ses petits. Hiberne en hiver.",Omnivore,FALSE,FALSE,200,68e1561a60e37f9dc0859c63,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Crocodile géant,"Prédateur préhistorique redoutable, le crocodile géant peut rester immobile pendant des heures avant de frapper avec une vitesse fulgurante.",,Très grand,Reptile,"Marais, rivières, lacs",5,14,85,"9 m, nage 15 m",,,Perception passive 10,,,"Patient et implacable. Reste immobile dans l'eau en attendant qu'une proie s'approche, puis attaque avec une violence explosive.",Carnivore,FALSE,FALSE,1800,68e1561a60e37f9dc0859c66,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Araignée géante,Arachnide de taille monstrueuse qui tisse des toiles résistantes et injecte un venin paralysant à ses proies.,,Grand,Arachnide,"Grottes, forêts sombres, ruines",1,14,26,"9 m, escalade 9 m",,,"Vision aveugle 3 m, Vision dans le noir 18 m, Perception passive 10",,,Chasseuse patiente qui attend dans sa toile. Paralyse ses proies avant de les dévorer.,Carnivore,FALSE,FALSE,200,68e1561a60e37f9dc0859c6c,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Corbeau,"Oiseau intelligent et rusé, le corbeau peut imiter des sons et résoudre des problèmes simples. Souvent associé aux présages.",,Très petit,Oiseau,Partout,0,12,1,"3 m, vol 15 m",,,Perception passive 13,,,"Très intelligent, curieux et opportuniste. Peut être apprivoisé et former des liens avec les humains.",Omnivore,TRUE,FALSE,10,68e1561a60e37f9dc0859c65,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Scorpion géant,Arachnide massif avec des pinces puissantes et un dard venimeux. Chasseur nocturne redoutable des déserts et cavernes.,,Grand,Arachnide,"Déserts, cavernes",3,15,52,12 m,,,"Vision aveugle 18 m, Perception passive 9",,,Prédateur nocturne qui chasse en embuscade. Utilise ses pinces pour immobiliser avant d'injecter son venin mortel.,Carnivore,FALSE,FALSE,700,68e1561a60e37f9dc0859c6d,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Cheval de guerre,"Dressé pour le combat, ce destrier puissant et courageux ne recule pas devant le danger. Loyal envers son cavalier, il peut charger l'ennemi avec férocité.",,Grand,Mammifère,"Plaines, prairies, écuries",0.5,11,19,18 m,,,Perception passive 11,,,"Courageux et obéissant, le cheval de guerre est formé pour ne pas paniquer au combat. Il protège instinctivement son cavalier.",Herbivore,TRUE,TRUE,100,68e1561a60e37f9dc0859c62,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Aigle géant,"Majestueux rapace de taille impressionnante, l'aigle géant est intelligent et noble. Certains peuvent être apprivoisés comme montures volantes.",,Grand,Oiseau,"Montagnes, falaises",1,13,26,"3 m, vol 24 m",,,Perception passive 14,,,"Noble et fier, l'aigle géant peut être apprivoisé par ceux qui gagnent sa confiance. Il chasse depuis les hauteurs et protège férocement son territoire.",Carnivore,TRUE,TRUE,200,68e1561a60e37f9dc0859c64,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Piranha géant,Poisson carnivore agressif avec des dents acérées comme des rasoirs. Chasse en bancs et peut dévorer une créature en quelques minutes.,,Petit,Poisson,Rivières tropicales,0.25,13,7,nage 12 m,,,"Vision dans le noir 18 m, Perception passive 8",,,"Extrêmement agressif en groupe. Attaque tout ce qui entre dans l'eau, surtout s'il y a du sang.",Carnivore,FALSE,FALSE,50,68e1561a60e37f9dc0859c6b,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
