name,description_text,image_url,type,rarity,quality,market_value,weight,materials,crafting_time,crafting_skill,durability,special_properties,history,creator,uses,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
Bouclier en bois renforcé,Un bouclier rond en bois avec bordure métallique. Protection supplémentaire classique.,,Armure,Commun,Moyenne,10,3 kg,"Bois dur, bandes de fer",2 jours,Menuiserie (DC 10),Normal,+2 à la CA,,,,Disponible chez tous les marchands d'armes et forgerons.,68e28889c9e6d515f342cb31,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sac à dos en toile,Un sac robuste avec plusieurs compartiments. Essentiel pour tout aventurier.,,Conteneur,Commun,Moyenne,2,2 kg,"Toile résistante, sangles de cuir",1 jour,Couture (DC 8),Normal,Contenance : 15 kg,,,,"Disponible dans tous les marchés, auberges, marchands généraux.",68e28889c9e6d515f342cb32,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Corde de chanvre (15 mètres),"Une solide corde tissée, indispensable pour l'escalade et d'innombrables autres usages.",,Outil,Commun,Moyenne,1,5 kg,Fibres de chanvre tressées,6 heures,Cordage (DC 8),Normal,"Résistance : 2 points de vie, CA 11",,,,"Disponible partout : marchés, ports, marchands généraux.",68e28889c9e6d515f342cb33,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Torche,Un bâton de bois imprégné de résine qui brûle pendant 1 heure.,,Outil,Commun,Moyenne,0.01,0.5 kg,"Bâton de bois, résine inflammable",30 minutes,Aucune compétence requise,Fragile,Éclaire dans un rayon de 6 mètres pendant 1 heure,,,,"Disponible dans toutes les auberges, tavernes, marchands. Objet de base très bon marché.",68e28889c9e6d515f342cb34,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Lanterne à capuchon,Une lanterne métallique avec un capuchon pour contrôler la lumière. Utilise de l'huile comme combustible.,,Outil,Commun,Moyenne,5,1 kg,"Fer forgé, verre pour la vitre",2 jours,Forge (DC 10),Résistant,Éclaire 9 m avec une fiole d'huile (6 heures),,,,"Disponible chez les forgerons, marchands généraux, quincailliers.",68e28889c9e6d515f342cb35,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Fiole d'huile,Une petite bouteille d'huile combustible pour lanternes ou comme arme incendiaire.,,Outil,Commun,Moyenne,0.1,0.5 kg,"Huile végétale ou animale, fiole en verre",1 heure (si on a l'huile),Aucune,Fragile,,,,,"Disponible chez tous les marchands, épiciers, apothicaires.",68e28889c9e6d515f342cb36,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Rations de voyage (1 jour),"Nourriture séchée, fromage dur, biscuits et fruits secs. Se conserve longtemps.",,Nourriture,Commun,Moyenne,0.5,1 kg,"Viande séchée, biscuits, fromage, fruits secs",4 heures (préparation et séchage),Cuisine (DC 8),Normal,Nourrit une personne pendant 1 jour,,,,"Disponible dans tous les marchés, auberges, chez les boulangers.",68e28889c9e6d515f342cb37,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Outre d'eau,Une poche en cuir pour transporter de l'eau ou d'autres liquides.,,Conteneur,Commun,Moyenne,0.2,2 kg (pleine),"Cuir tanné étanche, bouchon en bois",1 jour,Travail du cuir (DC 8),Normal,Contenance : 2 litres,,,,"Disponible partout : marchés, tanneurs, marchands généraux.",68e28889c9e6d515f342cb38,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Couverture en laine,Une épaisse couverture en laine pour se protéger du froid la nuit.,,Vêtement,Commun,Moyenne,0.5,1.5 kg,Laine tissée,3 jours,Tissage (DC 8),Normal,,,,,"Disponible chez les tisserands, marchés, auberges.",68e28889c9e6d515f342cb39,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Tente (2 personnes),Une tente portable en toile imperméable. Protège des intempéries.,,Outil,Commun,Moyenne,2,10 kg,"Toile imperméabilisée, piquets en bois, cordes",5 jours,Couture (DC 10),Normal,"Abrite 2 personnes, montage en 1 minute",,,,"Disponible chez les marchands spécialisés en équipement de voyage, grands marchés.",68e28889c9e6d515f342cb3a,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Trousse de soins,"Un ensemble de bandages, onguents et instruments pour soigner les blessures.",,Outil,Commun,Moyenne,5,1.5 kg,"Bandages, alcool, aiguille, fil, onguents",2 jours (assemblage),Médecine (DC 10),Normal,"10 utilisations, permet de stabiliser les mourants",,,,"Disponible chez les apothicaires, herboristes, temples de guérison.",68e28889c9e6d515f342cb3b,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Grimoire vierge,Un livre relié en cuir avec des pages vierges. Essentiel pour les magiciens.,,Livre,Commun,Bonne,50,1.5 kg,"Parchemin, cuir pour la reliure, encres magiques",15 jours,Reliure et calligraphie (DC 12),Normal,Peut contenir environ 100 sorts,,,,"Disponible uniquement chez les scribes spécialisés, bibliothèques, écoles de magie. Prix élevé dû aux matériaux magiques.",68e28889c9e6d515f342cb3c,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Composantes de sorts (sacoche),"Une petite sacoche contenant herbes, poudres et objets étranges nécessaires aux sorts.",,Outil,Commun,Moyenne,25,1 kg,"Sacoche en cuir, diverses composantes",10 jours (collecte),Arcanes ou Nature (DC 12),Normal,Permet de lancer des sorts nécessitant des composantes matérielles,,,,"Disponible chez les apothicaires magiques, écoles de magie, marchands spécialisés.",68e28889c9e6d515f342cb3d,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Symbole sacré en argent,Un symbole religieux finement travaillé. Focus divin pour les clercs et paladins.,,Religieux,Commun,Bonne,5,0.5 kg,Argent pur,3 jours,Joaillerie (DC 12),Résistant,Focus de sorts divins,,,,"Disponible dans les temples, chez les orfèvres, marchands religieux. Le symbole varie selon la divinité.",68e28889c9e6d515f342cb3e,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Instruments de crochetage,Un ensemble de pics et de crochets pour forcer les serrures.,,Outil,Commun,Moyenne,25,0.5 kg,"Acier fin, étui en cuir",5 jours,Forge fine (DC 14),Résistant,Nécessaire pour crocheter les serrures,,,,"Difficile à trouver légalement. Marchands discrets, marché noir, guilde des voleurs.",68e28889c9e6d515f342cb3f,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Outils de forgeron,"Marteau, enclume portable, pinces et autres outils pour travailler le métal.",,Outil,Commun,Moyenne,20,4 kg,"Acier trempé, manches en bois",10 jours,Forge (DC 12),Très résistant,Permet de réparer et fabriquer des objets métalliques,,,,"Disponible chez les forgerons, marchands d'outils spécialisés.",68e28889c9e6d515f342cb40,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Outils de menuisier,"Scie, rabot, ciseau et équerre pour travailler le bois.",,Outil,Commun,Moyenne,8,3 kg,"Acier pour les lames, bois pour les manches",7 jours,Forge et menuiserie (DC 10),Résistant,Permet de fabriquer des objets en bois,,,,"Disponible chez les quincailliers, menuisiers, marchands d'outils.",68e28889c9e6d515f342cb41,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Luth,Un instrument à cordes élégant. Parfait pour les bardes et musiciens.,,Instrument,Commun,Bonne,35,1 kg,"Bois noble, cordes en boyau, vernis",20 jours,Lutherie (DC 15),Fragile,Focus pour la magie bardique,,,,"Disponible chez les luthiers, marchands d'instruments, grandes villes uniquement.",68e28889c9e6d515f342cb42,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Jeu de cartes,Un jeu de cartes illustrées pour jouer et parier.,,Jeu,Commun,Moyenne,0.5,0.1 kg,"Carton rigide, encre",3 jours,Artisanat (DC 8),Fragile,,,,,"Disponible dans les tavernes, auberges, marchés.",68e28889c9e6d515f342cb43,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Dés en os,Un ensemble de dés taillés dans l'os pour les jeux de hasard.,,Jeu,Commun,Moyenne,0.1,0.1 kg,Os poli,1 jour,Sculpture (DC 8),Normal,,,,,"Disponible partout : tavernes, marchés, colporteurs.",68e28889c9e6d515f342cb44,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Encre et plume,Nécessaire pour écrire : une fiole d'encre noire et une plume d'oie taillée.,,Outil,Commun,Moyenne,0.1,0.1 kg,"Encre (suie + liant), plume d'oiseau",2 heures,Aucune,Fragile,,,,,"Disponible chez les scribes, marchands de papeterie, bibliothèques.",68e28889c9e6d515f342cb45,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Parchemin (une feuille),Une feuille de parchemin vierge pour écrire.,,Parchemin,Commun,Moyenne,0.1,0.05 kg,Peau animale traitée,2 jours (traitement de la peau),Parchemin (DC 10),Fragile,,,,,"Disponible chez les scribes, bibliothèques, marchands de papeterie.",68e28889c9e6d515f342cb46,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Livre ordinaire,"Un livre relié contenant du texte. Peut être un roman, un manuel ou un journal.",,Livre,Commun,Moyenne,25,2 kg,"Parchemin, cuir, encre",30 jours (écriture et reliure),Calligraphie et reliure (DC 12),Normal,,,,,"Disponible dans les bibliothèques, chez les libraires (grandes villes seulement).",68e28889c9e6d515f342cb47,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Coffre robuste avec serrure,Un coffre en bois renforcé de métal avec une serrure solide.,,Conteneur,Commun,Bonne,5,12 kg,"Bois de chêne, bandes de fer, serrure",5 jours,Menuiserie et serrurerie (DC 12),Très résistant,"Contenance : 150 kg, CA 17, 25 PV",,,,"Disponible chez les menuisiers, marchands de meubles, quincailliers.",68e28889c9e6d515f342cb48,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Chaîne en fer (3 mètres),Une chaîne solide en fer forgé avec cadenas.,,Outil,Commun,Moyenne,5,5 kg,Fer forgé,2 jours,Forge (DC 10),Très résistant,"CA 19, 10 PV, peut être brisée avec Force DC 20",,,,"Disponible chez les forgerons, quincailliers, marchands navals.",68e28889c9e6d515f342cb49,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Menottes,Des menottes en fer avec serrure pour immobiliser un prisonnier.,,Outil,Commun,Moyenne,2,3 kg,"Fer forgé, serrure",1 jour,Forge et serrurerie (DC 12),Très résistant,Se libérer : Force DC 20 ou Dextérité DC 20 (crochetage),,,,"Disponible chez les forgerons, gardes, officiers de justice.",68e28889c9e6d515f342cb4a,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Miroir en acier poli,Un petit miroir métallique poli. Utile pour regarder derrière les coins.,,Outil,Commun,Moyenne,5,0.25 kg,"Acier poli, manche",3 jours (polissage intensif),Forge (DC 12),Résistant,,,,,"Disponible chez les forgerons spécialisés, marchands de luxe.",68e28889c9e6d515f342cb4b,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
